file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
barkCrunch5-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,winds_brass,0.000000,piano,0.000000
barkCrunch5-001002_0170_1-2.wav,down2,guitar,0.999733,guitar,0.999733,synth,0.000267,piano,0.000000
barkCrunch5-001002_0170_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,toms,0.000000,hihat,0.000000
barkCrunch6-001002_0170_1-2.wav,orig,winds_brass,0.971485,winds_brass,0.971485,guitar,0.021166,toms,0.007349
barkCrunch6-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,piano,0.000000
barkCrunch6-001002_0170_1-2.wav,up2,hihat,0.840490,hihat,0.840490,toms,0.159510,kick,0.000000
barkCrunch7-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,piano,0.000000,toms,0.000000
barkCrunch7-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,piano,0.000000
barkCrunch7-001002_0170_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,toms,0.000000,hihat,0.000000
barkCrunch8-001002_0170_1-2.wav,orig,piano,0.976412,piano,0.976412,guitar,0.023588,winds_brass,0.000000
barkCrunch8-001002_0170_1-2.wav,down2,synth,0.812990,synth,0.812990,guitar,0.187010,piano,0.000000
barkCrunch8-001002_0170_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,toms,0.000000,piano,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,orig,toms,0.999998,toms,0.999998,winds_brass,0.000002,voice,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,down2,guitar,0.982628,guitar,0.982628,synth,0.017372,piano,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,up2,toms,1.000000,toms,1.000000,hihat,0.000000,cymbals,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,orig,hihat,0.965824,hihat,0.965824,toms,0.034176,cymbals,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,down2,guitar,0.999995,guitar,0.999995,synth,0.000005,voice,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,up2,hihat,0.999996,hihat,0.999996,toms,0.000004,synth,0.000000
barkCrunchAgain3-001007_0269_1-2.wav,orig,toms,0.996682,toms,0.996682,hihat,0.003318,winds_brass,0.000000
barkCrunchAgain3-001007_0269_1-2.wav,down2,guitar,0.990291,guitar,0.990291,synth,0.009709,piano,0.000000
barkCrunchAgain3-001007_0269_1-2.wav,up2,toms,0.999730,toms,0.999730,hihat,0.000270,cymbals,0.000000
basketball1-000927_0069_1-2.wav,orig,piano,0.943692,piano,0.943692,synth,0.056308,toms,0.000000
basketball1-000927_0069_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,bass,0.000000
basketball1-000927_0069_1-2.wav,up2,synth,0.999879,synth,0.999879,hihat,0.000069,toms,0.000043
basketball10-000927_0069_1-2.wav,orig,toms,0.995659,toms,0.995659,piano,0.004316,synth,0.000025
basketball10-000927_0069_1-2.wav,down2,synth,0.999980,synth,0.999980,piano,0.000020,guitar,0.000000
basketball10-000927_0069_1-2.wav,up2,synth,0.709536,synth,0.709536,hihat,0.290297,toms,0.000162
basketball11-000927_0069_1-2.wav,orig,piano,0.999998,piano,0.999998,synth,0.000002,winds_brass,0.000000
basketball11-000927_0069_1-2.wav,down2,synth,0.999983,synth,0.999983,piano,0.000017,guitar,0.000000
basketball11-000927_0069_1-2.wav,up2,synth,0.783760,synth,0.783760,hihat,0.210315,toms,0.005925
basketball12-000927_0069_1-2.wav,orig,piano,0.970851,piano,0.970851,synth,0.027128,toms,0.002021
basketball12-000927_0069_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
basketball12-000927_0069_1-2.wav,up2,synth,0.957115,synth,0.957115,hihat,0.041739,piano,0.001146
